0.3_stalin_desc,650_stalin_desc,783_stalin_desc,455_stalin_desc,324_stalin_desc,414_stalin_desc,615_stalin_desc,253_stalin_desc,289_stalin_desc,222_stalin_desc,383_stalin_desc,512_stalin_desc,177_stalin_desc,72_stalin_desc,185_stalin_desc,81_stalin_desc,429_stalin_desc,746_stalin_desc,490_stalin_desc,410_stalin_desc,155_stalin_desc,174_stalin_desc
,589.0,729,371.0,245.0,,,,,99.0,299.0,429.0,,,,,292.0,692.0,378.0,,,
,588.0,727,370.0,243.0,,,,,99.0,298.0,429.0,,,,,292.0,692.0,377.0,,,
,588.0,727,367.0,242.0,,,,,97.0,298.0,428.0,,,,,292.0,692.0,377.0,,,
,588.0,727,367.0,241.0,,,,,97.0,298.0,428.0,,,,,290.0,692.0,377.0,,,
,587.0,727,367.0,240.0,,,,,95.0,,428.0,,,,,290.0,692.0,376.0,,,
,586.0,727,367.0,240.0,,,,,93.0,,428.0,,,,,290.0,691.0,376.0,,,
,584.0,727,365.0,239.0,,,,,91.0,,428.0,,,,,288.0,691.0,376.0,,,
,581.0,725,364.0,238.0,,,,,91.0,,428.0,,,,,286.0,691.0,375.0,,,
,579.0,725,363.0,238.0,,,,,91.0,,428.0,,,,,284.0,691.0,375.0,,,
,579.0,724,361.0,236.0,,,,,91.0,,428.0,,,,,281.0,691.0,375.0,,,
,578.0,724,360.0,236.0,,,,,89.0,,428.0,,,,,281.0,691.0,375.0,,,
,578.0,723,358.0,236.0,,,,,89.0,,428.0,,,,,281.0,691.0,375.0,,,
,577.0,722,357.0,236.0,,,,,87.0,,428.0,,,,,281.0,691.0,374.0,,,
,577.0,722,357.0,235.0,,,,,87.0,,428.0,,,,,281.0,691.0,373.0,,,
,577.0,722,357.0,233.0,,,,,87.0,,427.0,,,,,281.0,690.0,372.0,,,
,576.0,721,355.0,232.0,,,,,85.0,,424.0,,,,,281.0,690.0,371.0,,,
,574.0,721,355.0,232.0,,,,,85.0,,424.0,,,,,281.0,690.0,371.0,,,
,574.0,721,355.0,231.0,,,,,80.0,,422.0,,,,,281.0,690.0,371.0,,,
,574.0,721,355.0,229.0,,,,,78.0,,421.0,,,,,281.0,690.0,370.0,,,
,573.0,721,355.0,226.0,,,,,78.0,,421.0,,,,,280.0,690.0,370.0,,,
,572.0,720,355.0,223.0,,,,,78.0,,421.0,,,,,280.0,689.0,370.0,,,
,571.0,719,355.0,222.0,,,,,78.0,,421.0,,,,,280.0,686.0,370.0,,,
,570.0,717,355.0,222.0,,,,,78.0,,421.0,,,,,280.0,686.0,370.0,,,
,570.0,717,354.0,221.0,,,,,78.0,,421.0,,,,,280.0,685.0,370.0,,,
,570.0,715,354.0,220.0,,,,,76.0,,421.0,,,,,280.0,684.0,370.0,,,
,570.0,715,354.0,220.0,,,,,74.0,,421.0,,,,,280.0,682.0,370.0,,,
,570.0,714,354.0,220.0,,,,,74.0,,420.0,,,,,280.0,681.0,369.0,,,
,568.0,713,354.0,220.0,,,,,72.0,,420.0,,,,,279.0,681.0,369.0,,,
,568.0,713,352.0,220.0,,,,,72.0,,420.0,,,,,278.0,679.0,369.0,,,
,568.0,713,352.0,219.0,,,,,72.0,,419.0,,,,,277.0,677.0,369.0,,,
,568.0,713,350.0,219.0,,,,,72.0,,419.0,,,,,276.0,677.0,367.0,,,
,567.0,713,350.0,219.0,,,,,70.0,,417.0,,,,,276.0,677.0,366.0,,,
,567.0,713,349.0,219.0,,,,,68.0,,416.0,,,,,275.0,676.0,365.0,,,
,567.0,713,349.0,219.0,,,,,68.0,,415.0,,,,,275.0,676.0,364.0,,,
,567.0,713,349.0,218.0,,,,,68.0,,414.0,,,,,275.0,676.0,363.0,,,
,567.0,713,347.0,218.0,,,,,66.0,,413.0,,,,,275.0,676.0,362.0,,,
,566.0,713,347.0,218.0,,,,,66.0,,413.0,,,,,274.0,676.0,362.0,,,
,563.0,713,346.0,216.0,,,,,66.0,,413.0,,,,,274.0,676.0,362.0,,,
,563.0,711,346.0,215.0,,,,,66.0,,412.0,,,,,274.0,675.0,362.0,,,
,563.0,711,345.0,214.0,,,,,62.0,,412.0,,,,,273.0,675.0,361.0,,,
,562.0,711,345.0,212.0,,,,,62.0,,412.0,,,,,273.0,675.0,360.0,,,
,560.0,711,342.0,212.0,,,,,,,412.0,,,,,272.0,675.0,360.0,,,
,560.0,710,342.0,212.0,,,,,,,410.0,,,,,271.0,674.0,360.0,,,
,559.0,710,338.0,211.0,,,,,,,409.0,,,,,271.0,673.0,360.0,,,
,559.0,708,337.0,209.0,,,,,,,409.0,,,,,271.0,672.0,360.0,,,
,559.0,708,337.0,209.0,,,,,,,408.0,,,,,271.0,671.0,360.0,,,
,559.0,707,337.0,208.0,,,,,,,406.0,,,,,270.0,671.0,359.0,,,
,558.0,707,336.0,207.0,,,,,,,404.0,,,,,270.0,671.0,359.0,,,
,557.0,707,332.0,207.0,,,,,,,403.0,,,,,270.0,671.0,359.0,,,
,557.0,707,0.0,207.0,,,,,,,403.0,,,,,270.0,671.0,359.0,,,
,556.0,707,0.0,206.0,,,,,,,403.0,,,,,270.0,670.0,359.0,,,
,556.0,707,,206.0,,,,,,,403.0,,,,,270.0,669.0,359.0,,,
,556.0,707,,206.0,,,,,,,403.0,,,,,270.0,669.0,359.0,,,
,555.0,707,,206.0,,,,,,,403.0,,,,,270.0,669.0,358.0,,,
,554.0,706,,205.0,,,,,,,403.0,,,,,270.0,668.0,357.0,,,
,550.0,706,,205.0,,,,,,,403.0,,,,,270.0,666.0,357.0,,,
,549.0,705,,204.0,,,,,,,403.0,,,,,269.0,665.0,357.0,,,
,549.0,705,,204.0,,,,,,,403.0,,,,,268.0,665.0,357.0,,,
,547.0,705,,203.0,,,,,,,402.0,,,,,267.0,665.0,357.0,,,
,546.0,705,,203.0,,,,,,,402.0,,,,,267.0,664.0,357.0,,,
,545.0,705,,203.0,,,,,,,400.0,,,,,266.0,664.0,357.0,,,
,545.0,705,,202.0,,,,,,,399.0,,,,,266.0,663.0,355.0,,,
,545.0,705,,202.0,,,,,,,399.0,,,,,265.0,662.0,354.0,,,
,544.0,705,,202.0,,,,,,,399.0,,,,,264.0,662.0,353.0,,,
,542.0,702,,202.0,,,,,,,399.0,,,,,264.0,662.0,353.0,,,
,542.0,700,,201.0,,,,,,,397.0,,,,,264.0,662.0,353.0,,,
,541.0,700,,201.0,,,,,,,397.0,,,,,263.0,,353.0,,,
,541.0,700,,200.0,,,,,,,395.0,,,,,263.0,,352.0,,,
,541.0,700,,200.0,,,,,,,395.0,,,,,263.0,,351.0,,,
,540.0,700,,200.0,,,,,,,394.0,,,,,263.0,,350.0,,,
,539.0,700,,198.0,,,,,,,394.0,,,,,261.0,,350.0,,,
,537.0,700,,198.0,,,,,,,394.0,,,,,260.0,,350.0,,,
,537.0,699,,198.0,,,,,,,394.0,,,,,259.0,,350.0,,,
,537.0,698,,198.0,,,,,,,394.0,,,,,259.0,,349.0,,,
,537.0,698,,198.0,,,,,,,394.0,,,,,259.0,,349.0,,,
